country_of_citizenship,class_of_admission,employer_state,us_economic_sector,case_status,foreign_worker_info_education,foreign_worker_info_major,case_received_date,decision_date,processing_days,application_year,application_month,application_quarter,application_dayofweek
INDIA,H-1B,WISCONSIN,UNKNOWN,CERTIFIED,BACHELOR'S,MECHANICAL ENGINEERING,2013-11-19,2015-05-29,556,2013,11,4,1
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-12,2015-06-26,591,2013,11,4,1
GERMANY,H-1B,COLORADO,UNKNOWN,DENIED,DOCTORATE,MOLECULAR BIOLOGY,2013-11-27,2014-10-16,323,2013,11,4,2
SOUTH KOREA,E-2,WASHINGTON,UNKNOWN,CERTIFIED,MASTER'S,BUSINESS ADMINISTRATION,2013-11-13,2015-05-26,559,2013,11,4,2
SOUTH KOREA,F-1,MICHIGAN,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-11-15,2015-05-28,559,2013,11,4,4
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-12,2015-05-18,552,2013,11,4,1
INDIA,UNKNOWN,KANSAS,UNKNOWN,CERTIFIED,BACHELOR'S,COMMERCE,2014-01-02,2015-06-12,526,2014,1,1,3
BRAZIL,H-1B,TEXAS,UNKNOWN,CERTIFIED,BACHELOR'S,MARKETING,2013-11-13,2015-05-28,561,2013,11,4,2
CHINA,NOT IN USA,SOUTH CAROLINA,UNKNOWN,CERTIFIED,UNKNOWN,UNKNOWN,2013-11-13,2015-05-11,544,2013,11,4,2
BELARUS,L-1,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,ELECTRONICS ENGINEERING,2013-11-15,2015-05-13,544,2013,11,4,4
INDIA,H-1B,WASHINGTON,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2013-11-14,2015-05-20,552,2013,11,4,3
CHINA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-06-30,2015-09-11,438,2014,6,2,0
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-11,2015-05-20,555,2013,11,4,0
INDIA,H-1B,TEXAS,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-11-18,2015-05-26,554,2013,11,4,0
CHINA,H-1B,MISSOURI,UNKNOWN,CERTIFIED,MASTER'S,WASHINGTON UNIVERSITY IN ST. LOUIS,2013-12-04,2015-06-09,552,2013,12,4,2
GERMANY,L-1,PENNSYLVANIA,UNKNOWN,CERTIFIED,BACHELOR'S,ENGINEERING,2013-11-22,2015-05-20,544,2013,11,4,4
PAKISTAN,F-1,NEW JERSEY,UNKNOWN,CERTIFIED,BACHELOR'S,COMPUTER ENGINEERING,2013-12-30,2015-06-11,528,2013,12,4,0
INDIA,PAROLEE,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-12-03,2015-06-03,547,2013,12,4,1
GUATEMALA,H-1B,GEORGIA,UNKNOWN,CERTIFIED,BACHELOR'S,AGRICULTURAL ENGINEERING,2014-01-13,2015-06-23,526,2014,1,1,0
INDIA,H-1B,NORTH CAROLINA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER APPLICATIONS,2013-11-13,2015-09-01,657,2013,11,4,2
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-11,2015-05-18,553,2013,11,4,0
CHINA,H-1B,NORTH CAROLINA,UNKNOWN,CERTIFIED,MASTER'S,EDUCATIONAL PSYCHOLOGY  (SEE SECTION H.14),2014-02-10,2015-07-16,521,2014,2,1,0
COLOMBIA,UNKNOWN,FLORIDA,UNKNOWN,CERTIFIED,ASSOCIATE'S,BAKERY AND PASTRY,2013-11-13,2015-05-12,545,2013,11,4,2
SOUTH KOREA,UNKNOWN,MISSISSIPPI,UNKNOWN,DENIED,UNKNOWN,UNKNOWN,2013-11-11,2015-05-19,554,2013,11,4,0
FRANCE,L-1,CALIFORNIA,UNKNOWN,CERTIFIED,OTHER,MAINTENANCE AND AUTOMATISMS TECHNICIAN,2013-12-04,2015-06-11,554,2013,12,4,2
INDIA,H-1B,NEW JERSEY,UNKNOWN,CERTIFIED,MASTER'S,ENGINEERING,2013-11-18,2015-05-28,556,2013,11,4,0
JAPAN,H-1B,OHIO,UNKNOWN,CERTIFIED,BACHELOR'S,AEROSPACE ENGINEERING,2013-11-13,2015-05-20,553,2013,11,4,2
INDIA,H-1B,IOWA,UNKNOWN,CERTIFIED,BACHELOR'S,ELECTRICAL ENGINEERING,2013-11-12,2015-05-21,555,2013,11,4,1
CANADA,H-1B,INDIANA,UNKNOWN,CERTIFIED,MASTER'S,AEROSPACE ENGINEERING,2013-12-10,2015-06-08,545,2013,12,4,1
JAPAN,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-11-27,2015-05-13,532,2013,11,4,2
UKRAINE,H-1B,PENNSYLVANIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2014-02-24,2015-06-29,490,2014,2,1,0
INDIA,H-1B,CALIFORNIA,UNKNOWN,CERTIFIED,MASTER'S,COMPUTER SCIENCE,2013-10-31,2015-06-23,600,2013,10,4,3
